../FPGA/FPGA.srcs/sources_1/ip/fc0_weights_1.17.coe
../FPGA/FPGA.srcs/sources_1/ip/fc1_weights2_1.17.coe
../FPGA/FPGA.srcs/sources_1/ip/fc2_weights_1.17.coe
0.10235213231346099

--- FC0 OUT ---
Neuron		Activation
0			0
1			0
2			0
3			0.006145495921373367
4			0
5			0
6			0.08060748316347599
7			0.05523117631673813
8			0
9			0.1802791729569435
10			0
11			0
12			0.046166982501745224
13			0.03906341828405857
14			0.07360554300248623
15			0.14713344536721706
16			0.17137806490063667
17			0
18			0
19			0.08327003754675388
20			0.047328513115644455
21			0
22			0
23			0.09905651770532131
24			0.0908980704843998
25			0.19023018330335617
26			0.026029139757156372
27			0.11468000896275043
28			0
29			0
30			0.13126679696142673
31			0
32			0
33			0.0020714905112981796
34			0
35			0.05435936339199543
36			0
37			0.17157204076647758
38			0.12731323763728142
39			0.0260907132178545
40			0.09429427795112133
41			0
42			0
43			0
44			0
45			0
46			0
47			0.14157023839652538
48			0.18111242353916168
49			0.0013659242540597916
50			0.08735100366175175
51			0.13904866017401218
52			0
53			0.1854267232120037
54			0.04577513039112091
55			0.21467973850667477
56			0
57			0.08075637556612492
58			0.06897336430847645
59			0
60			0
61			0.0787521954625845
62			0.05494634434580803
63			0.24471736699342728
64			0.20476124808192253
65			0
66			0.05546112172305584
67			0
68			0.23370899632573128
69			0
70			0.04422523267567158
71			0.2042101677507162
72			0
73			0
74			0.004743747413158417
75			0
76			0.03180043213069439
77			0
78			0
79			0
80			0.11443200893700123
81			0
82			0
83			0
84			0.283850584179163
85			0.0353721659630537
86			0
87			0.11185065284371376
88			0
89			0
90			0.01743328385055065
91			0.16490969248116016
92			0.02087080106139183
93			0
94			0.10605519451200962
95			0.06741542369127274
96			0
97			0.1596857961267233

--- FC1 OUT ---
Neuron		Activation
0			0
1			0.06945935450409024
2			0.1684708124172687
3			0
4			0
5			0
6			0.03551795890777498
7			0.22632431356962002
8			0
9			0.03517750757673355
10			0
11			0.05425433608037622
12			0
13			0
14			0.166414709233365
15			0.07604820949862301
16			0
17			0.10946342863313419
18			0.045443792709676245
19			0.252460283542149
20			0.12144997048976336
21			0
22			0
23			0.2203783826583816
24			0.00516557986151156
25			0
26			0.06732504822866758
27			0
28			0
29			0
30			0
31			0.030029472360155296
32			0
33			0
34			0
35			0
36			0.07148229985203614
37			0.18993922774569683
38			0.2074589232958175
39			0.10010808776468139
40			0.02408964067703323
41			0
42			0
43			0.16574958528455852
44			0
45			0
46			0
47			0
48			0
49			0
50			0
51			0.08900502825048306
52			0
53			0
54			0
55			0
56			0
57			0.06706645239746933
58			0.07199109011587268
59			0
60			0
61			0
62			0
63			0

--- FC2 OUT ---
Neuron		Activation
0			-0.021636442277762583
1			-0.0828636858323659
2			-0.1554619961518995
3			-0.042355793883417495
4			-0.19312273141041164
5			0.08596667523781058
6			-0.11274471560109173
7			-0.044369821498506865
8			0.0616270730776131
9			0.019561746469637025

--- SOFTMAX OUT ---
Neuron		Activation
0			0.10235213231346099
1			0.09627338472902423
2			0.08953177512141873
3			0.1002532810000227
4			0.08622264587243636
5			0.11397991662882098
6			0.09343919203092571
7			0.10005157131620508
8			0.11123918032286678
9			0.10665692066481845
