--- FC0 OUT---
Neuron		Activation
00			0.000000
01			0.000000
02			0.000000
03			0.005859
04			0.000000
05			0.000000
06			0.080322
07			0.055176
08			0.000000
09			0.180176
10			0.000000
11			0.000000
12			0.045898
13			0.038818
14			0.073242
15			0.146973
16			0.171143
17			0.000000
18			0.000000
19			0.083008
20			0.047119
21			0.000000
22			0.000000
23			0.098877
24			0.090576
25			0.190186
26			0.025879
27			0.114502
28			0.000000
29			0.000000
30			0.131104
31			0.000000
32			0.000000
33			0.001953
34			0.000000
35			0.054199
36			0.000000
37			0.171143
38			0.127197
39			0.025879
40			0.093994
41			0.000000
42			0.000000
43			0.000000
44			0.000000
45			0.000000
46			0.000000
47			0.141113
48			0.180908
49			0.001221
50			0.086914
51			0.138916
52			0.000000
53			0.185303
54			0.045654
55			0.214355
56			0.000000
57			0.080566
58			0.068604
59			0.000000
60			0.000000
61			0.078613
62			0.054932
63			0.244385
64			0.204590
65			0.000000
66			0.055420
67			0.000000
68			0.233398
69			0.000000
70			0.043945
71			0.204102
72			0.000000
73			0.000000
74			0.004639
75			0.000000
76			0.031494
77			0.000000
78			0.000000
79			0.000000
80			0.114014
81			0.000000
82			0.000000
83			0.000000
84			0.283447
85			0.035156
86			0.000000
87			0.111572
88			0.000000
89			0.000000
90			0.017090
91			0.164551
92			0.020752
93			0.000000
94			0.105713
95			0.067139
96			0.000000
97			0.159424

--- FC1 OUT---
Neuron		Activation
00			0.000000
01			0.069336
02			0.168213
03			0.000000
04			0.000000
05			0.000000
06			0.035400
07			0.225586
08			0.000000
09			0.034912
10			0.000000
11			0.054443
12			0.000000
13			0.000000
14			0.166260
15			0.075928
16			0.000000
17			0.109131
18			0.045410
19			0.251953
20			0.121094
21			0.000000
22			0.000000
23			0.219727
24			0.005127
25			0.000000
26			0.067139
27			0.000000
28			0.000000
29			0.000000
30			0.000000
31			0.030029
32			0.000000
33			0.000000
34			0.000000
35			0.000000
36			0.071289
37			0.189697
38			0.207031
39			0.099854
40			0.024170
41			0.000000
42			0.000000
43			0.165283
44			0.000000
45			0.000000
46			0.000000
47			0.000000
48			0.000000
49			0.000000
50			0.000000
51			0.088623
52			0.000000
53			0.000000
54			0.000000
55			0.000000
56			0.000000
57			0.066650
58			0.072021
59			0.000000
60			0.000000
61			0.000000
62			0.000000
63			0.000000

--- FC2 OUT ---
Neuron		Activation
00 			-0.021729
01 			-0.082764
02 			-0.155273
03 			-0.042480
04 			-0.192871
05 			0.085449
06 			-0.112549
07 			-0.044678
08 			0.061523
09 			0.019531

--- SOFTMAX OUT ---
Neuron		Activation
00			0.102348
01			0.096283
02			0.089554
03			0.100243
04			0.086243
05			0.113922
06			0.093460
07			0.100021
08			0.111229
09			0.106659
