Set Size    Bit shifts      Result
3000        5               80% but super unstable
3000        7               81%
3000        9               80.2%
3000        11              50%
3000        13              37%

1000        7               74.42%
1000        9               61.79%

2000        7               78.3%
2000        9               85.26%

5000        7               82%
5000        9               80.5%

10000       7               78%
10000       9               81% 
10000       11              75% 
